source_id,target_id,karma_score
Walder_Frey,Lord_Frey,10
Walder_Frey,Perra_Royce,5
Walder_Frey,Cyrenna_Swann,3
Walder_Frey,Amarei_Crakehall,7
Walder_Frey,Alyssa_Blackwood,4
Walder_Frey,Sarya_Whent,6
Walder_Frey,Bethany_Rosby,5
Walder_Frey,Annara_Farring,7
Walder_Frey,Joyeuse_Erenford,9
Walder_Frey,Stevron_Frey,8
Walder_Frey,Emmon_Frey,8
Walder_Frey,Aenys_Frey,8
Walder_Frey,Perriane_Frey,6
Walder_Frey,Jared_Frey,7
Walder_Frey,Luceon_Frey,5
Walder_Frey,Hosteen_Frey,8
Walder_Frey,Lythene_Frey,4
Walder_Frey,Symond_Frey,7
Walder_Frey,Danwell_Frey,6
Walder_Frey,Merrett_Frey,6
Walder_Frey,Geremy_Frey,5
Walder_Frey,Raymund_Frey,7
Walder_Frey,Lothar_Frey,8
Walder_Frey,Jammos_Frey,7
Walder_Frey,Whalen_Frey,5
Walder_Frey,Morya_Frey,4
Walder_Frey,Tyta_Frey,6
Walder_Frey,Perwyn_Frey,5
Walder_Frey,Benfrey_Frey,4
Walder_Frey,Willamen_Frey,5
Walder_Frey,Olyvar_Frey,7
Walder_Frey,Roslin_Frey,8
Walder_Frey,Arwyn_Frey,5
Walder_Frey,Wendel_Frey,4
Walder_Frey,Colmar_Frey,5
Walder_Frey,Waltyr_Frey,6
Walder_Frey,Elmar_Frey,7
Walder_Frey,Shirei_Frey,5
Walder_Frey,Walder_Rivers,6
Walder_Frey,Melwys_Rivers,5
Walder_Frey,Jeyne_Rivers,6
Walder_Frey,Martyn_Rivers,4
Walder_Frey,Ryger_Rivers,5
Walder_Frey,Ronel_Rivers,4
Walder_Frey,Mellara_Rivers,5
Walder_Frey,Hoster_Tully,1
Walder_Frey,Lady_Frey_(wife_of_Ambrose_Butterwell),7
Walder_Frey,Ambrose_Butterwell,5
Walder_Frey,Duncan_the_Tall,6
Walder_Frey,Tytos_Lannister,6
Walder_Frey,Genna_Lannister,7
Walder_Frey,Tywin_Lannister,8
Walder_Frey,Jon_Arryn,4
Walder_Frey,Robert_Arryn,5
Walder_Frey,Edmure_Tully,1
Walder_Frey,Catelyn_Stark,1
Walder_Frey,Tyrion_Lannister,6
Walder_Frey,Addam_Marbrand,3
Walder_Frey,Jaime_Lannister,5
Walder_Frey,Robb_Stark,1
Walder_Frey,Arya_Stark,1
Walder_Frey,Walder_Frey_(son_of_Merrett),8
Walder_Frey,Walder_Frey_(son_of_Jammos),7
Walder_Frey,Roose_Bolton,7
Walder_Frey,Walda_Frey_(daughter_of_Merrett),8
Walder_Frey,Jeyne_Westerling,1
Walder_Frey,Ryman_Frey,8
Walder_Frey,Joffrey_Baratheon,7
Walder_Frey,Petyr_Frey,6
Walder_Frey,Daven_Lannister,5
Walder_Frey,Lancel_Lannister,5
Walder_Frey,Amerei_Frey,7
Walder_Frey,Cersei_Lannister,6
Walder_Frey,Elder_Brother_(Quiet_Isle),5
Walder_Frey,Tommen_Baratheon,6
Walder_Frey,Wyman_Manderly,7
Walder_Frey,Rhaegar_Frey,7
Walder_Frey,Wynafryd_Manderly,6
Walder_Frey,Wylla_Manderly,6
Walder_Frey,Eddard_Stark,1
Walder_Frey,Stannis_Baratheon,2
Walder_Frey,Robett_Glover,3
Walder_Frey,Franklyn_Frey,5
Walder_Frey,Addam_Frey,4
Walder_Frey,Corenna_Swann,5
Walder_Frey,Marsella_Waynwood,4
Walder_Frey,Jeyne_Lydden,5
Walder_Frey,Aegon_Frey_(son_of_Stevron),6
Walder_Frey,Maegelle_Frey,5
Walder_Frey,Dafyn_Vance,4
Walder_Frey,Walton_Frey,5
Walder_Frey,Deana_Hardyng,4
Walder_Frey,Edwyn_Frey,5
Walder_Frey,Janyce_Hunter,4
Walder_Frey,Walder_Frey_(son_of_Ryman),8
Walder_Frey,Mylenda_Caron,5
Walder_Frey,Marianne_Vance,4
Walder_Frey,Walder_Vance,5
Walder_Frey,Patrek_Vance,4
Walder_Frey,Steffon_Frey,5
Walder_Frey,Walda_Frey_(daughter_of_Walton),6
Walder_Frey,Bryan_Frey,5
Walder_Frey,Walda_Frey_(daughter_of_Edwyn),5
Walder_Frey,Perra_Frey,4
Walder_Frey,Cleos_Frey,5
Walder_Frey,Jeyne_Darry,4
Walder_Frey,Lyonel_Frey,5
Walder_Frey,Melesa_Crakehall,5
Walder_Frey,Tion_Frey,5
Walder_Frey,Walder_Frey_(son_of_Emmon),6
Walder_Frey,Tywin_Frey,5
Walder_Frey,Willem_Frey,4
Walder_Frey,Tyana_Wylde,4
Walder_Frey,Leslyn_Haigh,3
Walder_Frey,Aegon_Frey_(son_of_Aenys),6
Walder_Frey,Jeyne_Beesbury,5
